anno_pil,pil_nominale_milioni,edizione,serie_istat,fonte_id
2000,1198291.8706651,2014M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2001,1255737.75723367,2014M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2002,1301873.03726576,2014M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2003,1341850.13323396,2014M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2004,1397728.27588473,2014M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2005,1436379.46426292,2014M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2006,1493031.30439813,2014M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2007,1554198.90360429,2014M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2008,1575143.87352146,2014M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2009,1519695.11603532,2014M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2010,1551885.60817591,2014M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2011,1579946.41622106,2014M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2012,1566911.58261493,2014M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2013,1560023.80272083,2014M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1995,990520.9,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
1996,1047745.4,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
1997,1095091.6,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
1998,1141256.8,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
1999,1177549.7,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
2000,1244744.2,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
2001,1308623.1,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
2002,1355522.3,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
2003,1399386.0,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
2004,1457356.2,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
2005,1499073.1,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
2006,1559864.2,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
2007,1621714.5,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
2008,1643718.8,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
2009,1584106.8,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
2010,1617944.7,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
2011,1657362.2,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
2012,1632898.5,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
2013,1621260.7,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
2014,1635870.7,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
2015,1663277.7,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
2016,1704856.7,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
2017,1744493.0,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
2018,1777744.4,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
2019,1804066.8,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
2020,1670011.9,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
2021,1842507.4,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
2022,1997054.9,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
2023,2128001.4,2024M9,DCCN_PILN,istat_pil_nominale_sdmx
1995,990520.9,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
1996,1047745.4,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
1997,1095091.6,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
1998,1141256.8,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
1999,1177549.7,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2000,1244744.2,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2001,1308623.1,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2002,1355522.3,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2003,1399386.0,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2004,1457356.2,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2005,1499073.1,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2006,1559864.2,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2007,1621714.5,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2008,1643718.8,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2009,1584106.8,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2010,1617944.7,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2011,1657362.2,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2012,1632898.5,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2013,1621260.7,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2014,1635870.7,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2015,1663277.7,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2016,1704856.7,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2017,1744493.0,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2018,1777744.4,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2019,1804066.8,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2020,1670011.9,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2021,1842507.4,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2022,1998072.6,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2023,2131390.0,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
2024,2192181.6,2025M3,DCCN_PILN,istat_pil_nominale_sdmx
1995,990520.9,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
1996,1047745.4,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
1997,1095091.6,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
1998,1141256.8,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
1999,1177549.7,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2000,1244744.2,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2001,1308623.1,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2002,1355522.3,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2003,1399386.0,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2004,1457356.2,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2005,1499073.1,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2006,1559864.2,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2007,1621714.5,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2008,1643718.8,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2009,1584106.8,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2010,1617944.7,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2011,1657362.2,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2012,1632898.5,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2013,1621260.7,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2014,1635870.7,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2015,1663277.7,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2016,1704856.7,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2017,1744493.0,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2018,1777744.4,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2019,1804066.8,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2020,1670011.9,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2021,1842507.4,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2022,1998072.6,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2023,2142601.7,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
2024,2199619.4,2025M9,DCCN_PILN,istat_pil_nominale_sdmx
1995,990520.9,2026M3,DCCN_PILN,istat_pil_nominale_sdmx
1996,1047745.4,2026M3,DCCN_PILN,istat_pil_nominale_sdmx
