indice_ccnl_id,codice_istat,contratto_istat,anno,indice_retribuzione_contrattuale,base,fonte_id,natura_dato
trasporti,Z1280,"Trasporti, poste e attivita connesse",2015,93.7,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
trasporti,Z1280,"Trasporti, poste e attivita connesse",2016,94.8,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
trasporti,Z1280,"Trasporti, poste e attivita connesse",2017,95.6,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
trasporti,Z1280,"Trasporti, poste e attivita connesse",2018,97.1,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
trasporti,Z1280,"Trasporti, poste e attivita connesse",2019,98.5,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
trasporti,Z1280,"Trasporti, poste e attivita connesse",2020,99.4,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
trasporti,Z1280,"Trasporti, poste e attivita connesse",2021,99.6,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
trasporti,Z1280,"Trasporti, poste e attivita connesse",2022,100.5,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
trasporti,Z1280,"Trasporti, poste e attivita connesse",2023,102.7,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
trasporti,Z1280,"Trasporti, poste e attivita connesse",2024,105.8,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
trasporti,Z1280,"Trasporti, poste e attivita connesse",2025,109.4,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
turismo,Z1840,Alloggio e ristorazione,2005,78.7,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
turismo,Z1840,Alloggio e ristorazione,2006,79.7,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
turismo,Z1840,Alloggio e ristorazione,2007,80.5,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
turismo,Z1840,Alloggio e ristorazione,2008,85.2,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
turismo,Z1840,Alloggio e ristorazione,2009,86.8,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
turismo,Z1840,Alloggio e ristorazione,2010,88.3,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
turismo,Z1840,Alloggio e ristorazione,2011,90.1,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
turismo,Z1840,Alloggio e ristorazione,2012,92.2,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
turismo,Z1840,Alloggio e ristorazione,2013,94.2,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
turismo,Z1840,Alloggio e ristorazione,2014,94.8,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
turismo,Z1840,Alloggio e ristorazione,2015,95.2,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
turismo,Z1840,Alloggio e ristorazione,2016,95.7,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
turismo,Z1840,Alloggio e ristorazione,2017,95.8,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
turismo,Z1840,Alloggio e ristorazione,2018,96.5,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
turismo,Z1840,Alloggio e ristorazione,2019,97.5,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
turismo,Z1840,Alloggio e ristorazione,2020,98.3,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
turismo,Z1840,Alloggio e ristorazione,2021,99.4,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
turismo,Z1840,Alloggio e ristorazione,2022,100.0,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
turismo,Z1840,Alloggio e ristorazione,2023,100.0,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
turismo,Z1840,Alloggio e ristorazione,2024,101.9,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
turismo,Z1840,Alloggio e ristorazione,2025,105.0,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
